price,sqft_living,lat,long
234284.0351758794,1627.7437185929648,47.30877989949747,-122.21335678391958
240328.3717472119,1468.6245353159852,47.48969999999997,-122.30787732342003
251296.24,1738.048,47.37355600000002,-122.27884800000005
281194.8698060942,1903.7839335180056,47.30910554016618,-122.27070360110805
284908.5964912281,1610.5263157894738,47.43743684210527,-122.32931578947371
286742.81162324647,1989.7294589178357,47.3086224448898,-122.36428256513025
289078.3455882353,1802.7720588235295,47.44730955882352,-122.28099264705885
294111.27857142856,1928.8821428571428,47.3157410714286,-122.31005357142861
296187.98046875,1962.5,47.36902656249999,-122.19041796875001
300340.40293040295,1929.6923076923076,47.40376483516485,-122.18930402930405
302896.7392857143,1745.3607142857143,47.39078785714286,-122.31574285714284
304262.1082089552,1784.6716417910447,47.45866604477614,-122.20276119402975
310612.75572519086,1729.351145038168,47.49911755725191,-122.24696946564875
311580.33638025593,1981.6965265082267,47.365698903107855,-122.11538756855565
316742.3905579399,1837.3133047210301,47.211225751072924,-121.99554935622308
319581.3940298507,1487.8835820895522,47.536196417910425,-122.35680895522395
334921.0626780627,2195.6609686609686,47.30183646723642,-122.16799715099718
353619.07472527475,2049.630769230769,47.44608483516482,-122.14614285714286
355678.51612903224,1704.6236559139784,47.54976935483872,-122.30687096774179
359496.2604166667,1621.451388888889,47.502055208333346,-122.35830555555552
367091.48387096776,2148.288624787776,47.37064023769109,-122.03175382003377
387011.5902636917,1614.762677484787,47.73565476673427,-122.34379716024345
418019.36094674555,1689.3037475345168,47.54383925049309,-122.27559566074945
420895.47536945814,2017.0960591133005,47.50965714285714,-122.18277832512318
423665.99,2137.59,47.333210000000015,-121.99947000000002
423736.9058295964,1786.6143497757848,47.75486322869954,-122.30354035874457
424734.60451977403,1543.59604519774,47.544584180790956,-122.37527401129945
424815.06315789477,2171.557894736842,47.737095789473706,-121.95483157894733
440232.31363636366,2070.4772727272725,47.47309454545455,-121.75908181818193
455617.1129032258,2117.967741935484,47.671487903225795,-121.84853225806457
462488.8692579505,2122.7243816254418,47.75513780918729,-122.24602826855123
464322.38976377953,2067.9055118110236,47.45521181102362,-122.35030314960636
469928.76772616134,1746.278728606357,47.717030073349584,-122.30123471882645
489382.0170940171,1893.059829059829,47.4174205128205,-122.46358974358968
490377.1076923077,2253.097435897436,47.75519230769231,-122.20117435897437
493625.3098290598,2403.653846153846,47.49273611111112,-122.13904700854694
521740.0146788991,1978.656880733945,47.720687889908326,-122.20737431192656
529629.7824675324,2578.409090909091,47.53176525974022,-121.86215584415581
551768.5209125475,1726.828897338403,47.53880684410643,-122.38820532319372
570073.5201465201,2371.673992673993,47.751016483516494,-122.13197435897436
576834.808318264,1692.0397830018082,47.68688915009041,-122.37858951175402
579109.8082706766,1579.548872180451,47.669789849624046,-122.37557142857145
585048.7790697674,1650.8305647840532,47.67602392026585,-122.34412956810648
586120.875,2363.0625,47.55876375,-121.90547500000005
594706.5422740525,1912.1107871720117,47.58629329446063,-122.29841107871736
612642.738317757,2284.2056074766356,47.55955700934583,-122.00565732087213
617053.9660194175,2514.609223300971,47.52168713592237,-122.04284708737859
617254.0212765958,2182.0567375886526,47.61052198581556,-122.14207801418442
618695.1090909091,1853.3696969696969,47.573905454545454,-122.39362121212116
619944.1492281304,1835.295025728988,47.68548421955406,-122.30178902229848
634558.1448275862,1785.048275862069,47.610160344827584,-122.29977241379305
645244.2264808363,2363.6550522648085,47.68053780487807,-122.11927700348434
645628.2261484099,2133.4452296819786,47.61331166077741,-122.11583392226142
676419.3921568628,2323.3333333333335,47.74238078431373,-122.36928235294121
677215.034739454,2620.238213399504,47.68003151364763,-122.02287096774192
682885.9898989899,2857.0454545454545,47.7459217171717,-122.06120202020202
685675.8435374149,2645.8707482993195,47.624084353741495,-122.04478458049887
790734.704735376,3016.3704735376045,47.58749080779937,-122.02252367688025
792187.8738170346,2161.7981072555203,47.64809810725548,-122.39846056782322
803990.8194444445,2381.340277777778,47.68008819444443,-122.1876597222223
810289.6964285715,2656.8035714285716,47.61153154761904,-122.16726785714283
849714.8097826086,2005.6141304347825,47.64003423913043,-122.3669184782608
859938.5542168674,2888.2951807228915,47.558021686747,-122.14683935742978
863228.9432314411,2150.5764192139736,47.665066812227046,-122.29434061135376
880077.752293578,2054.7798165137615,47.63560183486239,-122.35009174311921
899607.6730769231,2151.048076923077,47.634591346153876,-122.32224999999988
1096239.0074349442,2498.7434944237916,47.629618587360596,-122.29786617100362
1194873.6382978724,3106.8333333333335,47.559846099290766,-122.22559219858152
1356523.9905362776,2909.0220820189274,47.61618328075706,-122.20518927444785
2161300.0,3800.9,47.62583999999998,-122.23353999999996
